frame_id,timestamp,x,y
0,2.86102294921875e-06,1127,530
1,0.04555249214172363,1110,541
2,0.0784749984741211,1094,552
3,0.11224675178527832,1077,563
4,0.14519643783569336,1060,574
5,0.17954564094543457,1044,585
6,0.21359014511108398,1027,596
7,0.2470848560333252,1010,607
8,0.2809734344482422,994,618
9,0.3141806125640869,977,629
10,0.3468906879425049,960,641
11,0.3806014060974121,944,652
12,0.4149661064147949,927,663
13,0.4486372470855713,911,674
14,0.4822077751159668,894,685
15,0.5149199962615967,877,696
16,0.5481860637664795,861,707
17,0.581395149230957,844,718
18,0.6154875755310059,827,729
19,0.6492457389831543,811,740
20,0.6828584671020508,794,751
21,0.7170419692993164,777,762
22,0.7512257099151611,761,774
23,0.784611701965332,744,785
24,0.8182964324951172,727,774
25,0.852679967880249,711,762
26,0.8862204551696777,694,751
27,0.9201390743255615,677,740
28,0.9532938003540039,661,729
29,0.9868049621582031,644,718
30,1.019880771636963,627,707
31,1.0529837608337402,611,696
32,1.0859217643737793,594,685
33,1.1193997859954834,578,674
34,1.1536962985992432,561,663
35,1.1873202323913574,544,652
36,1.2215485572814941,528,641
37,1.2552058696746826,511,629
38,1.2895197868347168,494,618
39,1.3233976364135742,478,607
40,1.3572971820831299,461,596
41,1.3910200595855713,444,585
42,1.4241142272949219,428,574
43,1.457364559173584,411,563
44,1.4919419288635254,394,552
45,1.5247232913970947,378,541
46,1.5577318668365479,361,530
47,1.591313123703003,344,519
48,1.625868320465088,328,508
49,1.6596124172210693,311,496
50,1.693927526473999,295,485
51,1.7273540496826172,278,474
52,1.7620437145233154,261,463
53,1.7956905364990234,245,452
54,1.8285877704620361,228,441
55,1.8626189231872559,211,430
56,1.8958721160888672,195,419
57,1.9295134544372559,178,408
58,1.9636237621307373,161,397
59,1.9972715377807617,145,386
60,2.0298826694488525,128,375
61,2.062560796737671,111,364
62,2.096179485321045,95,352
63,2.128814220428467,78,341
64,2.161994218826294,61,330
65,2.1947810649871826,45,319
66,2.227917194366455,28,308
67,2.2609715461730957,11,297
68,2.294860363006592,28,286
69,2.328784465789795,45,275
70,2.3622453212738037,61,264
71,2.395073890686035,78,253
72,2.428518533706665,95,242
73,2.4627246856689453,111,231
74,2.496514320373535,128,219
75,2.529815196990967,145,208
76,2.563168525695801,161,197
77,2.5970559120178223,178,186
78,2.6300158500671387,195,175
79,2.663106918334961,211,164
80,2.6968092918395996,228,153
81,2.7296783924102783,245,142
82,2.7631752490997314,261,131
83,2.795382261276245,278,120
84,2.829646110534668,295,109
85,2.8641436100006104,311,98
86,2.903042793273926,328,86
87,2.9389781951904297,344,75
88,2.972622871398926,361,64
89,3.0059969425201416,378,53
90,3.03938889503479,394,42
91,3.0737695693969727,411,31
92,3.1064772605895996,428,20
93,3.1406044960021973,444,9
94,3.1746084690093994,461,20
95,3.209827184677124,478,31
96,3.243628740310669,494,42
97,3.2771666049957275,511,53
98,3.3100359439849854,528,64
